"url","name","topics","skills","type","description"
"https://www.coursera.org/specializations/python","Python for Everybody | Coursera","['Computer Science', 'Software Development']","['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']","specialization","b'This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, you\xc3\xa2\xc2\x80\xc2\x99ll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.'"
"https://www.coursera.org/specializations/probabilistic-graphical-models","Probabilistic Graphical Models  | Coursera","['Data Science', 'Machine Learning']","['Inference', 'Bayesian Network', 'Belief Propagation', 'Graphical Model', 'Markov Random Field', 'Gibbs Sampling', 'Markov Chain Monte Carlo (MCMC)', 'Algorithms', 'Expectationâ\x80\x93Maximization (EM) Algorithm']","specialization","b'Probabilistic graphical models (PGMs) are a rich framework for encoding probability distributions over complex domains: joint (multivariate) distributions over large numbers of random variables that interact with each other. These representations sit at the intersection of statistics and computer science, relying on concepts from probability theory, graph algorithms, machine learning, and more. They are the basis for the state-of-the-art methods in a wide variety of applications, such as medical diagnosis, image understanding, speech recognition, natural language processing, and many, many more. They are also a foundational tool in formulating many machine learning problems.'"
"https://www.coursera.org/specializations/machine-learning","Machine Learning | Coursera","['Data Science', 'Machine Learning']","['Data Clustering Algorithms', 'Machine Learning', 'Classification Algorithms', 'Decision Tree', 'Python Programming', 'Machine Learning Concepts', 'Deep Learning', 'Linear Regression', 'Ridge Regression', 'Lasso (Statistics)', 'Regression Analysis', 'Logistic Regression']","specialization","b'This Specialization from leading researchers at the University of Washington introduces you to the exciting, high-demand field of Machine Learning. Through a series of practical case studies, you will gain applied experience in major areas of Machine Learning including Prediction, Classification, Clustering, and Information Retrieval. You will learn to analyze large and complex datasets, create systems that adapt and improve over time, and build intelligent applications that can make predictions from data.'"
"https://www.coursera.org/specializations/introduction-intellectual-property","Intellectual Property Law | Coursera","['Business', 'Business Strategy']","['Brand Management', 'Strategic Thinking', 'Planning', 'Intellectual Property', 'Business Strategy', 'Asset Management', 'Value Proposition', 'Copyright', 'Copyright Protection', 'Fair Use', 'Marketing', 'Strategic Planning']","specialization","b'Intellectual property is the currency of the tech world. The pharmaceutical patent for Lipitor generated over $100 billion in revenue, the copyright for the Harry Potter franchise has generated over $25 billion to date, and the trademarked brands of the world\xc3\xa2\xc2\x80\xc2\x99s largest tech companies now eclipse $100 billion in value. But what makes these intangible assets so valuable?\\n\\nThrough the courses in this specialization, you will learn the differences between the various forms of U.S. intellectual property rights, including patents, copyrights, and trademarks, and their various applications to human innovations. Drawing from that knowledge, you will then work to develop a trademark strategy for a company, analyze a patent document, and address a copyright cease-and-desist request. After completing these hands-on projects, you will have the necessary framework to craft integrated intellectual property strategies tailored to an organization\xc3\xa2\xc2\x80\xc2\x99s core business goals.'"
"https://www.coursera.org/specializations/gis","Geographic Information Systems  (GIS) | Coursera","['Data Science', 'Data Analysis']","['Geographic Information System (GIS)', 'Satellite', 'Imagery Analysis', 'Model Building', 'spatial visualization', 'Spatial Analysis', 'Data Analysis', 'Data Visualization (DataViz)', 'Software', 'Analytics', 'Workflow', 'Data Management']","specialization","b'Knowledge of Geographic Information Systems (GIS) is an increasingly sought after skill in industries from agriculture to public health. This Specialization, offered in partnership with ArcGIS developer Esri, will teach the skills you need to successfully use GIS software in a professional setting. You will learn how to analyze your spatial data, use cartography techniques to communicate your results in maps, and collaborate with peers in GIS and GIS-dependent fields. In the final Capstone Project, you will create a professional-quality GIS portfolio piece using a combination of data identification and collection, analytical map development, and spatial analysis techniques.\\n\\nInterested in learning advanced GIS topics? Check out the Spatial Data Analysis and Visualization MasterTrack\xc3\xa2\xc2\x84\xc2\xa2 Program.'"
"https://www.coursera.org/specializations/business-english","Business English Communication Skills | Coursera","['Language Learning', 'Learning English']","['Business Plan', 'English Language', 'Meeting', 'Presentation', 'Email Writing', 'Business Communication', 'Communication', 'Professional', 'Writing', 'Negotiation', 'Planning', 'Language']","specialization","b'This Specialization is designed to teach you to communicate effectively in English in professional contexts. You will expand your English vocabulary, improve your ability to write and speak in English in both social and professional interactions, and learn terminology and skills that you can apply to business negotiations, telephone conversations, written reports and emails, and professional presentations.'"
"https://www.coursera.org/specializations/algorithms","Algorithms | Coursera","['Computer Science', 'Algorithms']","['Algorithms', 'Dynamic Programming', 'Greedy Algorithm', 'Divide And Conquer Algorithms', 'Randomized Algorithm', 'Sorting Algorithm', 'Graphs', 'Data Structure', 'Hash Table', 'Spanning Tree', 'Np-Completeness']","specialization","b'Algorithms are the heart of computer science, and the subject has countless practical applications as well as intellectual depth. This specialization is an introduction to algorithms for learners with at least a little programming experience. The specialization is rigorous but emphasizes the big picture and conceptual understanding over low-level implementation and mathematical details. After completing this specialization, you will be well-positioned to ace your technical interviews and speak fluently about algorithms with other programmers and computer scientists.\\n\\nAbout the instructor: Tim Roughgarden has been a professor in the Computer Science Department at Stanford University since 2004. He has taught and published extensively on the subject of algorithms and their applications.'"
"https://www.coursera.org/specializations/3d-printing-additive-manufacturing","3D Printing and Additive Manufacturing | Coursera","['Computer Science', 'Design and Product']","['Prototyping', 'Fusion360', 'Tinkercad', '3D printing', '3d modeling', 'Materials', 'Product Development', 'New Product Development', 'Humanâ\x80\x93Computer Interaction']","specialization","b'This Specialization will introduce you to the magic of 3D printing. Through a series of four cohesive courses and a hands-on capstone experience, you will acquire the knowledge and skills to turn your ideas into objects and your objects into ideas. This course brings together a unique mix of academics and industry through partnerships with Ultimaker, a leading desktop 3D Printer manufacturer, and Autodesk, the leader in 3D modeling software.'"
"https://www.coursera.org/specializations/abnormal-psychology","Abnormal Psychology | Coursera","['Health', 'Psychology']","['Motivation', 'History', 'Psychology', 'behavior', 'goal setting']","specialization","b'This specialization provides an introduction to the study of abnormal psychology, with a survey of various mental health concerns through both a modern and historical lens. It concludes with an opportunity to practice effecting behavioral change in your own life through an overview of scientifically-supported treatment strategies. The specialization is not intended to be a replacement for therapy, nor a replacement for formal psychiatric training, but - through a series of lectures, readings, and reflective projects - you will learn many of the basic tenets of how diagnosis and treatment have been applied throughout the existence of the discipline of psychology, how to empathically respond to people in distress, and some basic tools to make desired changes in your own life.'"
"https://www.coursera.org/specializations/academic-english","Academic English: Writing | Coursera","['Social Sciences', 'Education']","['Punctuation', 'Essay Writing', 'Academic Writing', 'Writing', 'English Grammar', 'Grammar', 'Creative Writing']","specialization","b'The skills taught in this Specialization will empower you to succeed in any college-level course or professional field. You\xc3\xa2\xc2\x80\xc2\x99ll learn to conduct rigorous academic research and to express your ideas clearly in an academic format. In the final Capstone Project, all the knowledge that you\xc3\xa2\xc2\x80\xc2\x99ve gained over the span of these courses will culminate into an academic research paper on an issue of your choice.'"
